model,term,coef,std_err,p_value,ci_lower,ci_upper
ardl,policy_rate_roll4_std_lag2.L3,0.03728580635646983,0.20995215390275154,0.8596224117916077,,
ardl,policy_rate_roll4_std_lag2.L4,-0.019223580673581875,0.31908092592133597,0.9521529133106399,,
ardl,policy_rate_roll4_std_lag3.L0,-0.15292807113886464,0.16205742493747075,0.3490032807084493,,
ardl,policy_rate_roll4_std_lag3.L1,0.20163863477670374,0.16726968303224812,0.23260246994213965,,
ardl,policy_rate_roll4_std_lag3.L2,0.03728580636248302,0.20995215390303465,0.8596224117693965,,
ardl,policy_rate_roll4_std_lag3.L3,-0.019223580668990436,0.3190809259210062,0.9521529133220045,,
ardl,policy_rate_roll4_std_lag3.L4,0.27724546979603537,0.5259267335528537,0.5999664856495139,,
glsar,const,3.3394649021987126,0.5650894886471497,1.6555217652509768e-08,,
glsar,population_density,-1.9035592129864365,3.566403397837403,0.5941674545711239,,
glsar,q_2,0.03956643525895257,0.06506251673286573,0.5438597359263379,,
glsar,q_3,0.06383198470774756,0.09201814755472491,0.4887616052175074,,
glsar,q_4,0.029138672408036574,0.08100474705941722,0.7194768589752735,,
glsar,renewable_energy_roll4_std,0.040195189332117326,0.7920185858016088,0.9595801411214306,,
glsar,freshwater_withdraw_roll4_std,-3.7497604516873664,2.839624072513751,0.1883219571017069,,
glsar,population_density_roll4_std,-8.549251628957826,7.432419340265525,0.2515438850995027,,
glsar,inflation_roll4_std,0.36992661583862363,0.19822436713219274,0.06362199720140796,,
glsar,policy_rate_roll4_std,-0.6337611038728574,0.3715227887038268,0.08974244113065771,,
glsar,renewable_energy_lag2,0.15845570885294694,0.37429763611915967,0.6725459846153998,,
glsar,inflation_lag1,-0.024505500399516378,0.07532716911827826,0.7453119177453916,,
glsar,imports_lag2,-0.00694072204858745,0.13322958176251617,0.9585093721473863,,
glsar,policy_rate_lag2,0.036562318821750484,0.09574737370555447,0.7030089365737504,,
glsar,renewable_energy_roll4_mean_lag4,3.471288390684615,1.4889827002990994,0.020831875640973545,,
glsar,renewable_energy_roll4_std_lag3,0.07828247071042393,0.7727728250988798,0.9194232295264821,,
glsar,forest_area_roll4_mean_lag4,-93.4038483902811,39.548134495602504,0.019244265916589003,,
glsar,forest_area_roll4_std_lag1,0.9523759291182143,19.0158224648958,0.9601108964390243,,
glsar,forest_area_roll4_std_lag4,12.78853650503627,20.12353288874509,0.5258995812312195,,
glsar,freshwater_withdraw_roll4_mean_lag4,8.198096770174297,5.997544220198451,0.17333989809421632,,
glsar,freshwater_withdraw_roll4_std_lag2,1.287229683862343,2.667640794903049,0.630005892514081,,
glsar,freshwater_withdraw_roll4_std_lag4,0.5040088906113532,2.810997758321848,0.8579024397471315,,
glsar,population_density_roll4_std_lag2,2.2624925363484714,5.20048495266141,0.6640385710784984,,
glsar,population_density_roll4_std_lag4,4.657705464353423,7.327226299751431,0.5257893442235432,,
glsar,inflation_roll4_std_lag3,0.31206589687500513,0.18337136630684914,0.09049579712661042,,
glsar,imports_roll4_mean_lag4,-2.021481017461895,0.47566199258531067,3.4121644284412375e-05,,
glsar,policy_rate_roll4_mean_lag4,-1.9420852883906066,0.3819085482927966,9.07970912046238e-07,,
glsar,policy_rate_roll4_std_lag1,-0.36354764807428974,0.3629940157591866,0.3179026745630131,,
glsar,policy_rate_roll4_std_lag2,-0.23188315038591695,0.36088098238501365,0.52132640166478,,
glsar,policy_rate_roll4_std_lag3,-0.4695800217206484,0.3615010323222534,0.19559649624127334,,
ridge,population_density,0.05017701656028328,,,-0.07857624206566936,0.22483690462979863
ridge,q_2,0.021301393912008013,,,-0.09198776269450501,0.14341305254564848
ridge,q_3,0.05600071664786306,,,-0.05598200067987582,0.24143185173536216
ridge,q_4,-0.05904538524216472,,,-0.2080797398377717,0.049586160355811384
ridge,renewable_energy_roll4_std,0.06872731996210436,,,-0.07204218507691146,0.23291706597821568
ridge,freshwater_withdraw_roll4_std,-0.10600314254557056,,,-0.2563251046614538,-0.019031477085510853
ridge,population_density_roll4_std,-0.030069009709359596,,,-0.33039932063101435,0.09839440158774303
ridge,inflation_roll4_std,-0.20211524028850944,,,-0.4295260993546951,0.016787033225103106
ridge,policy_rate_roll4_std,0.03661219407171366,,,-0.1482887575995897,0.26988259418224597
ridge,renewable_energy_lag2,-0.11135415071145094,,,-0.29450764464498824,0.0272346784498875
ridge,inflation_lag1,0.1239488835074789,,,-0.07487468633310612,0.31843807316121064
ridge,imports_lag2,0.37884854858720873,,,0.2101624772454565,0.6260827969034353
ridge,policy_rate_lag2,0.22175046771961343,,,0.06138146095972959,0.4694332207696665
ridge,renewable_energy_roll4_mean_lag4,0.02746655009147546,,,-0.09033827664347042,0.16494627852201843
ridge,renewable_energy_roll4_std_lag3,-0.03079533569775829,,,-0.19609737947963762,0.11605679079703725
ridge,forest_area_roll4_mean_lag4,-0.25711969789809885,,,-0.42938250614336987,-0.14693621955111433
ridge,forest_area_roll4_std_lag1,-0.2207403002939347,,,-0.3247151108510602,-0.12939677221249507
ridge,forest_area_roll4_std_lag4,-0.22059479839579646,,,-0.3382782874837684,-0.11334560174357057
ridge,freshwater_withdraw_roll4_mean_lag4,0.09867465278157843,,,-0.042909206213556636,0.19064556316642084
ridge,freshwater_withdraw_roll4_std_lag2,-0.03088860030336288,,,-0.1628730440481413,0.08292016896566895
ridge,freshwater_withdraw_roll4_std_lag4,-0.07971963646762656,,,-0.18871292605672874,-0.0005585246193363052
